ID,Module,Heuristic,Feature/Action,Required Role,Steps,Expected Result,Notes,In Scope (Current Run),Executable (Partner Admin Login)
UX-GLOB-01,Global,Consistency and standards,Modal action buttons use consistent labels/order/placement across create and edit modals,Any,"Open New Sub User, New Ticket, and an Edit flow (e.g. edit a Team Contact). Compare button labels, order, and position.",Primary action (Save/Create) and secondary action (Cancel/Close) use the same wording order and position across every modal.,,Yes,Yes
UX-GLOB-02,Global,Visibility of system status,Save/submit actions show a loading or in-progress state,Any,Trigger a save with a noticeable network delay (e.g. create Sub User submit a ticket reply) and observe the button/UI during the request.,Button shows a busy/loading state between click and completion; UI does not appear frozen or allow duplicate submits.,,Yes,Yes
UX-GLOB-03,Global,Visibility of system status,Successful save/create/edit actions show a clear confirmation,Any,Complete a create/edit/disable/delete action anywhere in scope.,"A toast, banner, or equivalent confirmation appears; the affected item updates in the underlying table/view without a manual refresh.",,Yes,Yes
UX-GLOB-04,Global,User control and freedom,Modals can be dismissed without side effects,Any,"Open a creation modal, partially fill it, then close via each available method (Cancel, X icon, Escape key, click outside).",Every dismissal method closes the modal without saving partial data or leaving the view in a broken/loading state.,,Yes,Yes
UX-GLOB-05,Global,Recognition rather than recall,Multi-select fields show currently selected values without requiring recall,Any,Open Edit on an item with multiple selections already made (e.g. a Sub User with 2+ Associated Teams).,Current selections are visibly listed/checked in the field itself not just inferable by reopening a dropdown.,,Yes,Yes
UX-GLOB-06,Global,Aesthetic and minimalist design,Tables show only the information needed for the primary task,Any,Open the Tickets table and Sub Users table with default columns.,"Default columns cover fields needed to scan/triage at a glance; secondary fields are available via column config or detail view, not cluttering the default view.",,Yes,Yes
UX-A11Y-01,Accessibility,WCAG 2.1 AA - Keyboard operability,Primary flows are fully operable by keyboard alone,Any,"Using only Tab/Shift+Tab/Enter/Space/Escape (no mouse), open a creation modal, fill required fields, submit; also navigate a data table.","Every interactive element is reachable and operable via keyboard, with a visible focus indicator at each step.",,Yes,Yes
UX-A11Y-02,Accessibility,WCAG 2.1 AA - Labels and error identification,Form fields have visible associated labels and validation errors are shown as text near the field,Any,Open a creation form and trigger a validation error (leave a required field blank submit).,"Each field has a persistent visible label (not placeholder-only); the error is shown as text near the field, not conveyed by color/border alone.",,Yes,Yes
UX-A11Y-03,Accessibility,WCAG 2.1 AA - Use of color,Status values are distinguishable without relying on color alone,Any,View a table with status badges/colors (e.g. Sub Users Status column Tickets Status column).,"Status is also conveyed via text/icon/shape, not color alone.",,Yes,Yes
UX-A11Y-04,Accessibility,WCAG 2.1 AA - Focus visible,Focus indicator is visible on all interactive elements,Any,Tab through a form and a table's row actions.,A clearly visible focus outline/highlight appears on the currently focused element at every step.,,Yes,Yes
UX-TEAM-01,Teams,Match between system and the real world,Team Profile terminology matches how support/ops staff refer to these concepts,Partner Administrator,Open a Team Profile and review field labels and section names.,Labels use terminology consistent with the spec/business language; no internal codenames or ambiguous abbreviations exposed to the user.,,Yes,Yes
UX-TEAM-02,Teams,Help users recognize/diagnose/recover from errors,Read-only fields blocked for Partner Administrator clearly indicate why they can't be edited,Partner Administrator,"As Partner Administrator, attempt to edit Team Name or an Additional Details field on a Team Profile.",The field is clearly shown as read-only/disabled (not silently rejecting a click) and ideally indicates who can edit it.,Related to PROF-03/PROF-06 functional findings - those confirmed the fields are blocked; this checks whether the UI communicates why.,Yes,Yes
